Date,ML_Prediction,Confidence,TA_Signal,Hybrid_Signal,Portfolio_Value,Daily_Return,Close
2022-09-30,1,0.7358988520484624,1,1,87127.00103204246,-0.015066695771983385,3585.6201171875
2022-10-03,1,0.6428461768804605,0,0,89382.18717428885,0.025883894952576147,3678.429931640625
2022-10-04,1,0.428859852419728,0,0,92115.82523291094,0.030583700679551518,3790.929931640625
2022-10-05,1,0.6227211239031902,0,0,91929.94021787435,-0.00201794875708472,3783.280029296875
2022-10-06,1,0.6658036935509275,0,0,90988.11054811544,-0.010245080846640109,3744.52001953125
2022-10-07,1,0.7035643027369554,1,1,88440.11427718532,-0.028003617786773516,3639.659912109375
2022-10-10,-1,0.6403894506408055,1,1,87777.47993718537,-0.007492463633901991,3612.389892578125
2022-10-11,-1,0.4877239794610455,1,1,87205.24311614656,-0.006519175777754294,3588.840087890625
2022-10-12,1,0.6047919115673689,1,1,86918.27044373383,-0.0032907731480150693,3577.030029296875
2022-10-13,1,0.5504526266697687,0,0,89175.15917739259,0.02596564246086497,3669.909912109375
2022-10-14,1,0.4595551308093051,1,1,87065.03738290552,-0.02366266361565439,3583.070068359375
2022-10-17,1,0.6218180629637875,0,0,89370.52412649534,0.026480052302171098,3677.949951171875
2022-10-18,1,0.5067351901942048,0,0,90391.81201708147,0.011427569666488724,3719.97998046875
2022-10-19,1,0.6869252837431654,0,0,89788.70905277222,-0.006672097293450419,3695.159912109375
2022-10-20,1,0.7140633759622688,0,0,89074.8071344246,-0.007950909706564868,3665.780029296875
